file,original_name,best_match,confidence,status,reason,method,top_sim,margin,top_candidates
abb_gen.ttl,Output_kW,rated_output_power,0.55,ACCEPT,"The OEM variable 'Output_kW' most closely matches the ontology candidate 'rated_output_power' based on the highest similarity score (0.552). Both refer to output power in kilowatts (kW), and the ontology property explicitly uses kW as the unit symbol. The domain and source (IEC 60034-1:2022) are also relevant for motor rated points, aligning with typical OEM datasets.",LLM,0.5524781346321106,0.038175761699676514,"[{""id"": ""rated_output_power"", ""sim"": 0.5525}, {""id"": ""output_power"", ""sim"": 0.5143}, {""id"": ""input_power"", ""sim"": 0.4642}, {""id"": ""mcrPower_kW"", ""sim"": 0.4642}, {""id"": ""copper_losses"", ""sim"": 0.4412}]"
abb_gen.ttl,Motor_type,,0.0,NO_MATCH,"None of the candidate ontology properties directly represent or describe the 'Motor_type' variable. The candidates pertain to quantitative or structural properties (mass, frame size, rated voltage, locked rotor torque, number of poles), while 'Motor_type' refers to a categorical classification (e.g., induction, synchronous, etc.). Therefore, no suitable mapping is available among the provided candidates.",LLM,0.45147356390953064,0.005264848470687866,"[{""id"": ""mass"", ""sim"": 0.4515}, {""id"": ""frame_size"", ""sim"": 0.4462}, {""id"": ""rated_voltage"", ""sim"": 0.4437}, {""id"": ""locked_rotor_torque"", ""sim"": 0.443}, {""id"": ""number_of_poles"", ""sim"": 0.4416}]"
abb_gen.ttl,Speed_r_min,minimum_air_speed,0.51,ACCEPT,"The OEM variable 'Speed_r_min' likely refers to a minimum speed value, and among the candidates, 'minimum_air_speed' has the highest similarity score (0.51). Although the unit (m/s) and domain (ElectricMotor) may not perfectly match the OEM context, it is the closest semantic fit based on available candidates.",LLM,0.5065497159957886,0.04091024398803711,"[{""id"": ""minimum_air_speed"", ""sim"": 0.5065}, {""id"": ""mcrRpm_revPerSec"", ""sim"": 0.4656}, {""id"": ""reg:CI_RudderSpeedMinima"", ""sim"": 0.4628}, {""id"": ""shape:rudderSpeedMinima"", ""sim"": 0.4569}, {""id"": ""nn_rpm"", ""sim"": 0.4371}]"
abb_gen.ttl,Efficiency_full_load,efficiency_class_ie,0.46,HUMAN_REVIEW,"The OEM variable 'Efficiency_full_load' refers to the efficiency of a component at full load. Among the candidates, 'efficiency_class_ie' and 'efficiency' are the closest matches. 'efficiency_class_ie' is specifically related to efficiency classification per IEC standards and is associated with the MotorRatedPoint, which is likely relevant for full load conditions. Although the similarity score is only marginally higher than 'efficiency', the domain and context make 'efficiency_class_ie' the best available match.",LLM,0.4563223421573639,0.00024962425231933594,"[{""id"": ""efficiency_class_ie"", ""sim"": 0.4563}, {""id"": ""efficiency"", ""sim"": 0.4561}, {""id"": ""power_factor"", ""sim"": 0.4248}, {""id"": ""copper_losses"", ""sim"": 0.4118}, {""id"": ""rated_output_power"", ""sim"": 0.4075}]"
abb_gen.ttl,cos_phi,,0.30439066886901855,NO_MATCH,Low similarity (top_sim=0.304 < MIN_SIM=0.45),LOW_SIM,0.30439066886901855,0.0030696988105773926,"[{""id"": ""power_factor"", ""sim"": 0.3044}, {""id"": ""angular_frequency"", ""sim"": 0.3013}, {""id"": ""slip_ratio"", ""sim"": 0.3009}, {""id"": ""copper_losses"", ""sim"": 0.286}, {""id"": ""hull:HullParams1"", ""sim"": 0.2848}]"
abb_gen.ttl,current_I_N_A,,0.33075156807899475,NO_MATCH,Low similarity (top_sim=0.331 < MIN_SIM=0.45),LOW_SIM,0.33075156807899475,0.0005379617214202881,"[{""id"": ""locked_rotor_current"", ""sim"": 0.3308}, {""id"": ""rated_current"", ""sim"": 0.3302}, {""id"": ""inertiaRatio_Ie_It"", ""sim"": 0.3019}, {""id"": ""resistance"", ""sim"": 0.3007}, {""id"": ""input_power"", ""sim"": 0.2872}]"
abb_gen.ttl,rated_torque_Nm,ratedTorque_kNm,0.56,ACCEPT,"The OEM variable 'rated_torque_Nm' most closely matches the ontology property 'ratedTorque_kNm' based on the highest similarity score (0.556). Both refer to rated torque, though the ontology uses kNm as the unit while the OEM variable uses Nm. The context of 'rated torque' is preserved, making this the most appropriate mapping despite the unit difference.",LLM,0.5561115741729736,0.019100666046142578,"[{""id"": ""ratedTorque_kNm"", ""sim"": 0.5561}, {""id"": ""ratedTorque_kNm"", ""sim"": 0.537}, {""id"": ""torque"", ""sim"": 0.5247}, {""id"": ""breakdown_torque"", ""sim"": 0.4999}, {""id"": ""qEmax_kNm"", ""sim"": 0.4943}]"
abb_gen.ttl,J_kgm2,,0.42389658093452454,HUMAN_REVIEW,Low similarity (top_sim=0.424 < MIN_SIM=0.45),LOW_SIM,0.42389658093452454,0.02125033736228943,"[{""id"": ""mass"", ""sim"": 0.4239}, {""id"": ""charpyV_J"", ""sim"": 0.4026}, {""id"": ""locked_rotor_torque"", ""sim"": 0.3949}, {""id"": ""addedMass_kg"", ""sim"": 0.3922}, {""id"": ""Qr_kNm"", ""sim"": 0.3915}]"
abb_gen.ttl,Weight_kg,,0.421511173248291,HUMAN_REVIEW,Low similarity (top_sim=0.422 < MIN_SIM=0.45),LOW_SIM,0.421511173248291,0.027941524982452393,"[{""id"": ""mass"", ""sim"": 0.4215}, {""id"": ""addedMass_kg"", ""sim"": 0.3936}, {""id"": ""rated_output_power"", ""sim"": 0.3448}, {""id"": ""Qr_kNm"", ""sim"": 0.3442}, {""id"": ""Tr_kN"", ""sim"": 0.3389}]"
bmd_series.ttl,poles_2p,number_of_poles,0.49287769198417664,HUMAN_REVIEW,"Auto by margin (top_sim=0.493, margin=0.161)",AUTO_MARGIN,0.49287769198417664,0.16098928451538086,"[{""id"": ""number_of_poles"", ""sim"": 0.4929}, {""id"": ""power_factor"", ""sim"": 0.3319}, {""id"": ""power"", ""sim"": 0.3142}, {""id"": ""locked_rotor_torque"", ""sim"": 0.31}, {""id"": ""P0_7_m"", ""sim"": 0.3069}]"
bmd_series.ttl,winding_temperature_rise_dT,winding_temperature_rise_K,0.5766267776489258,ACCEPT,"Auto by margin (top_sim=0.577, margin=0.163)",AUTO_MARGIN,0.5766267776489258,0.16331607103347778,"[{""id"": ""winding_temperature_rise_K"", ""sim"": 0.5766}, {""id"": ""insulation_thermal_class"", ""sim"": 0.4133}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4017}, {""id"": ""copper_losses"", ""sim"": 0.4006}, {""id"": ""locked_rotor_current"", ""sim"": 0.3981}]"
bmd_series.ttl,rated_frequency_fn,,0.44204026460647583,HUMAN_REVIEW,Low similarity (top_sim=0.442 < MIN_SIM=0.45),LOW_SIM,0.44204026460647583,0.00887957215309143,"[{""id"": ""angular_frequency"", ""sim"": 0.442}, {""id"": ""frequency"", ""sim"": 0.4332}, {""id"": ""rotational_frequency"", ""sim"": 0.4079}, {""id"": ""rated_voltage"", ""sim"": 0.3853}, {""id"": ""naturalFrequency_Hz"", ""sim"": 0.3754}]"
bmd_series.ttl,temperature_adjustment_factor_fT,,0.38636788725852966,NO_MATCH,Low similarity (top_sim=0.386 < MIN_SIM=0.45),LOW_SIM,0.38636788725852966,0.029002994298934937,"[{""id"": ""winding_temperature_rise_K"", ""sim"": 0.3864}, {""id"": ""testTemperature_degC"", ""sim"": 0.3574}, {""id"": ""power_factor"", ""sim"": 0.352}, {""id"": ""safetyFactorFatigue"", ""sim"": 0.3254}, {""id"": ""safetyFactorExtremeYield"", ""sim"": 0.3241}]"
bmd_series.ttl,stall_rms_current_I0,,0.42978784441947937,HUMAN_REVIEW,Low similarity (top_sim=0.430 < MIN_SIM=0.45),LOW_SIM,0.42978784441947937,0.03055843710899353,"[{""id"": ""locked_rotor_current"", ""sim"": 0.4298}, {""id"": ""locked_rotor_torque"", ""sim"": 0.3992}, {""id"": ""rated_current"", ""sim"": 0.3958}, {""id"": ""breakdown_torque"", ""sim"": 0.3771}, {""id"": ""rated_output_power"", ""sim"": 0.3652}]"
bmd_series.ttl,brake_dc_current_Ib,,0.4392167925834656,HUMAN_REVIEW,Low similarity (top_sim=0.439 < MIN_SIM=0.45),LOW_SIM,0.4392167925834656,3.960728645324707e-05,"[{""id"": ""breakdown_torque"", ""sim"": 0.4392}, {""id"": ""locked_rotor_current"", ""sim"": 0.4392}, {""id"": ""rated_current"", ""sim"": 0.4182}, {""id"": ""comp:ShaftBrakes1"", ""sim"": 0.4119}, {""id"": ""linked_flux"", ""sim"": 0.4076}]"
bmd_series.ttl,max_rms_current_Imax,,0.42689111828804016,HUMAN_REVIEW,Low similarity (top_sim=0.427 < MIN_SIM=0.45),LOW_SIM,0.42689111828804016,0.008949249982833862,"[{""id"": ""locked_rotor_current"", ""sim"": 0.4269}, {""id"": ""rated_current"", ""sim"": 0.4179}, {""id"": ""qEmax_kNm"", ""sim"": 0.4022}, {""id"": ""rated_output_power"", ""sim"": 0.3824}, {""id"": ""locked_rotor_torque"", ""sim"": 0.3789}]"
bmd_series.ttl,rated_rms_current_In,rated_current,0.95,ACCEPT,"The OEM variable 'rated_rms_current_In' refers to the rated root mean square (RMS) current, which aligns with the ontology property 'rated_current'. Both represent the nominal current rating of a motor, and the unit (A) matches. The similarity score is also the highest among the candidates.",LLM,0.5509986877441406,0.04455447196960449,"[{""id"": ""rated_current"", ""sim"": 0.551}, {""id"": ""rated_voltage"", ""sim"": 0.5064}, {""id"": ""rated_output_power"", ""sim"": 0.5049}, {""id"": ""locked_rotor_current"", ""sim"": 0.4819}, {""id"": ""input_power"", ""sim"": 0.4606}]"
bmd_series.ttl,brake_moment_of_inertia_Jb,moment_of_inertia,0.49795156717300415,HUMAN_REVIEW,"Auto by margin (top_sim=0.498, margin=0.071)",AUTO_MARGIN,0.49795156717300415,0.070770263671875,"[{""id"": ""moment_of_inertia"", ""sim"": 0.498}, {""id"": ""comp:ShaftBrakes1"", ""sim"": 0.4272}, {""id"": ""breakdown_torque"", ""sim"": 0.419}, {""id"": ""comp:TorsionalVibrationDamper1"", ""sim"": 0.4137}, {""id"": ""charpyV_J"", ""sim"": 0.4096}]"
bmd_series.ttl,motor_moment_of_inertia_JM,moment_of_inertia,0.5221507549285889,ACCEPT,"Auto by margin (top_sim=0.522, margin=0.075)",AUTO_MARGIN,0.5221507549285889,0.07493516802787781,"[{""id"": ""moment_of_inertia"", ""sim"": 0.5222}, {""id"": ""mass"", ""sim"": 0.4472}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4348}, {""id"": ""torque"", ""sim"": 0.4258}, {""id"": ""locked_rotor_current"", ""sim"": 0.4205}]"
bmd_series.ttl,back_emf_constant_Ke,linked_flux,0.46,HUMAN_REVIEW,"The variable 'back_emf_constant_Ke' refers to the back electromotive force constant, which is related to the motor's ability to generate voltage proportional to speed and magnetic flux. Among the candidates, 'linked_flux' (unit: Wb) is most closely related, as the back EMF constant is typically defined in terms of the magnetic flux linkage in the motor. The similarity score is highest for 'linked_flux', supporting this mapping.",LLM,0.45770514011383057,0.014337003231048584,"[{""id"": ""linked_flux"", ""sim"": 0.4577}, {""id"": ""magnetic_flux"", ""sim"": 0.4434}, {""id"": ""breakdown_torque"", ""sim"": 0.4381}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4325}, {""id"": ""locked_rotor_current"", ""sim"": 0.4259}]"
bmd_series.ttl,torque_constant_KT,locked_rotor_torque,0.45,HUMAN_REVIEW,"The variable 'torque_constant_KT' refers to a motor constant relating torque to current, typically in units such as Nm/A. Among the candidates, 'locked_rotor_torque' is the closest match because it is a specific torque property associated with the motor's operating limits, and the similarity score is the highest among the options. However, none of the candidates directly represent a torque constant (KT), so the match is based on closest semantic proximity rather than an exact definition.",LLM,0.4525836706161499,0.0013836324214935303,"[{""id"": ""locked_rotor_torque"", ""sim"": 0.4526}, {""id"": ""breakdown_torque"", ""sim"": 0.4512}, {""id"": ""qEmax_kNm"", ""sim"": 0.4413}, {""id"": ""Qsmax_kNm"", ""sim"": 0.4308}, {""id"": ""torque"", ""sim"": 0.4295}]"
bmd_series.ttl,stator_phase_phase_inductance_Lpp,inductance,0.44,HUMAN_REVIEW,"The OEM variable 'stator_phase_phase_inductance_Lpp' refers to an inductance value related to the stator phase-to-phase measurement, which aligns with the ontology property 'inductance'. The 'inductance' property is defined for the MotorEquivalentCircuit domain and uses the unit Henry (H), matching the physical meaning of the OEM variable. Although the similarity score is moderate (0.44), it is the most semantically appropriate among the candidates.",LLM,0.45268839597702026,0.007848858833312988,"[{""id"": ""locked_rotor_current"", ""sim"": 0.4527}, {""id"": ""inductance"", ""sim"": 0.4448}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4442}, {""id"": ""power_factor"", ""sim"": 0.4271}, {""id"": ""copper_losses"", ""sim"": 0.4265}]"
bmd_series.ttl,stall_torque_M0,locked_rotor_torque,0.92,ACCEPT,"The OEM variable 'stall_torque_M0' refers to the torque produced by a motor when its rotor is not rotating (i.e., at stall). In electric motor terminology, this is commonly called 'locked rotor torque.' Among the candidates, 'locked_rotor_torque' is the most semantically accurate match, as it directly represents the same physical concept. The similarity score is also high and the domain aligns with motor operating limits, making it the best fit.",LLM,0.46813541650772095,0.004939347505569458,"[{""id"": ""qEmax_kNm"", ""sim"": 0.4681}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4632}, {""id"": ""breakdown_torque"", ""sim"": 0.463}, {""id"": ""torque"", ""sim"": 0.4509}, {""id"": ""Qsmax_kNm"", ""sim"": 0.4462}]"
bmd_series.ttl,brake_torque_Mb,breakdown_torque,0.51,ACCEPT,"The OEM variable 'brake_torque_Mb' most closely matches the ontology candidate 'breakdown_torque' based on the highest similarity score (0.511). Both refer to torque-related properties, and 'breakdown_torque' is defined as a motor operating limit, which aligns with the context of brake torque. Other candidates have lower similarity scores and less direct relevance to brake torque.",LLM,0.5114231705665588,0.05642923712730408,"[{""id"": ""breakdown_torque"", ""sim"": 0.5114}, {""id"": ""locked_rotor_torque"", ""sim"": 0.455}, {""id"": ""qEmax_kNm"", ""sim"": 0.454}, {""id"": ""comp:ShaftBrakes1"", ""sim"": 0.4479}, {""id"": ""torque"", ""sim"": 0.4456}]"
bmd_series.ttl,brake_mass_mb,comp:ShaftBrakes1,0.4505,HUMAN_REVIEW,"The variable 'brake_mass_mb' refers to the mass of a brake, and among the candidates, 'comp:ShaftBrakes1' is the most relevant entity as it represents a brake component. Although the similarity score is moderate, it is the highest among the candidates and directly relates to the concept of a brake, making it the best available match.",LLM,0.45052874088287354,0.006221652030944824,"[{""id"": ""comp:ShaftBrakes1"", ""sim"": 0.4505}, {""id"": ""addedMass_kg"", ""sim"": 0.4443}, {""id"": ""mass"", ""sim"": 0.4324}, {""id"": ""breakdown_torque"", ""sim"": 0.4247}, {""id"": ""moment_of_inertia"", ""sim"": 0.3828}]"
bmd_series.ttl,equivalent_torque_MEQU,qEmax_kNm,0.5,HUMAN_REVIEW,"The OEM variable 'equivalent_torque_MEQU' most closely matches 'qEmax_kNm', which represents the prime mover maximum torque in the ontology. The similarity score is the highest among the candidates, and both refer to a torque value related to the main engine or prime mover. The other candidates either refer to specific motor operating limits or use different units or contexts.",LLM,0.5038406848907471,0.00845596194267273,"[{""id"": ""qEmax_kNm"", ""sim"": 0.5038}, {""id"": ""breakdown_torque"", ""sim"": 0.4954}, {""id"": ""torque"", ""sim"": 0.4945}, {""id"": ""linked_flux"", ""sim"": 0.4825}, {""id"": ""locked_rotor_torque"", ""sim"": 0.4798}]"
