file,original_name,best_match,confidence,status,reason,method,top_sim,margin,top_candidates
abb_gen.ttl,Motor_type,,0.0,SKIPPED_NOT_IN_STANDARD,Skipped (Not found in standard / not defined in ontology),SKIP_LIST,0.0,0.0,[]
abb_gen.ttl,Output_kW,rated_output_power,0.55,ACCEPT,"The variable 'Output_kW' from the OEM dataset most closely matches 'rated_output_power' based on the highest similarity score (0.552). Both refer to output power in kilowatts, and the ontology candidate specifies the unit as kW, aligning with the OEM variable. The domain and source also match typical motor output power definitions.",LLM,0.5524781346321106,0.038175761699676514,"[{""id"": ""rated_output_power"", ""sim"": 0.5525}, {""id"": ""output_power"", ""sim"": 0.5143}, {""id"": ""input_power"", ""sim"": 0.4642}, {""id"": ""mcrPower_kW"", ""sim"": 0.4642}, {""id"": ""copper_losses"", ""sim"": 0.4412}]"
abb_gen.ttl,Speed_r_min,minimum_air_speed,0.51,ACCEPT,"The OEM variable 'Speed_r_min' likely refers to a minimum speed value, and among the candidates, 'minimum_air_speed' has the highest similarity score (0.51). Although its unit is m/s and domain is ElectricMotor, it most closely matches the concept of a minimum speed. Other candidates refer to rotational speed (rpm/rev/s) or rudder speed minima, which are less directly related based on the variable name.",LLM,0.5065497159957886,0.04091024398803711,"[{""id"": ""minimum_air_speed"", ""sim"": 0.5065}, {""id"": ""mcrRpm_revPerSec"", ""sim"": 0.4656}, {""id"": ""reg:CI_RudderSpeedMinima"", ""sim"": 0.4628}, {""id"": ""shape:rudderSpeedMinima"", ""sim"": 0.4569}, {""id"": ""nn_rpm"", ""sim"": 0.4371}]"
abb_gen.ttl,Efficiency_full_load,efficiency_class_ie,0.46,HUMAN_REVIEW,"The variable 'Efficiency_full_load' from the OEM dataset most closely matches 'efficiency_class_ie' in the ontology. Both refer to efficiency at a specific operating point (full load), and 'efficiency_class_ie' is sourced from IEC standards related to motor efficiency. The similarity score is the highest among the candidates, though still moderate, indicating a reasonable but not perfect match.",LLM,0.4563223421573639,0.00024962425231933594,"[{""id"": ""efficiency_class_ie"", ""sim"": 0.4563}, {""id"": ""efficiency"", ""sim"": 0.4561}, {""id"": ""power_factor"", ""sim"": 0.4248}, {""id"": ""copper_losses"", ""sim"": 0.4118}, {""id"": ""rated_output_power"", ""sim"": 0.4075}]"
abb_gen.ttl,cos_phi,,0.3043668270111084,NO_MATCH,Low similarity (top_sim=0.304 < MIN_SIM=0.45),LOW_SIM,0.3043668270111084,0.003068089485168457,"[{""id"": ""power_factor"", ""sim"": 0.3044}, {""id"": ""angular_frequency"", ""sim"": 0.3013}, {""id"": ""slip_ratio"", ""sim"": 0.3009}, {""id"": ""copper_losses"", ""sim"": 0.2859}, {""id"": ""hull:HullParams1"", ""sim"": 0.2848}]"
abb_gen.ttl,current_I_N_A,,0.33075156807899475,NO_MATCH,Low similarity (top_sim=0.331 < MIN_SIM=0.45),LOW_SIM,0.33075156807899475,0.0005379617214202881,"[{""id"": ""locked_rotor_current"", ""sim"": 0.3308}, {""id"": ""rated_current"", ""sim"": 0.3302}, {""id"": ""inertiaRatio_Ie_It"", ""sim"": 0.3019}, {""id"": ""resistance"", ""sim"": 0.3007}, {""id"": ""input_power"", ""sim"": 0.2872}]"
abb_gen.ttl,rated_torque_Nm,ratedTorque_kNm,0.56,ACCEPT,"The OEM variable 'rated_torque_Nm' refers to the rated torque in Newton-meters. Among the candidates, 'ratedTorque_kNm' is the closest match by both semantic similarity and meaning, representing the rated torque property for relevant ship components (e.g., Gearbox, Coupling). The unit is in kNm, which is a scaled version of Nm, and the context aligns with rated torque. The other candidates either refer to general torque, different torque types (e.g., breakdown), or maximum torque, which do not specifically denote 'rated' torque.",LLM,0.5561115741729736,0.019100666046142578,"[{""id"": ""ratedTorque_kNm"", ""sim"": 0.5561}, {""id"": ""ratedTorque_kNm"", ""sim"": 0.537}, {""id"": ""torque"", ""sim"": 0.5247}, {""id"": ""breakdown_torque"", ""sim"": 0.4999}, {""id"": ""qEmax_kNm"", ""sim"": 0.4943}]"
abb_gen.ttl,J_kgm2,,0.42389658093452454,HUMAN_REVIEW,Low similarity (top_sim=0.424 < MIN_SIM=0.45),LOW_SIM,0.42389658093452454,0.02125033736228943,"[{""id"": ""mass"", ""sim"": 0.4239}, {""id"": ""charpyV_J"", ""sim"": 0.4026}, {""id"": ""locked_rotor_torque"", ""sim"": 0.3949}, {""id"": ""addedMass_kg"", ""sim"": 0.3922}, {""id"": ""Qr_kNm"", ""sim"": 0.3915}]"
abb_gen.ttl,Weight_kg,,0.421511173248291,HUMAN_REVIEW,Low similarity (top_sim=0.422 < MIN_SIM=0.45),LOW_SIM,0.421511173248291,0.027941524982452393,"[{""id"": ""mass"", ""sim"": 0.4215}, {""id"": ""addedMass_kg"", ""sim"": 0.3936}, {""id"": ""rated_output_power"", ""sim"": 0.3448}, {""id"": ""Qr_kNm"", ""sim"": 0.3442}, {""id"": ""Tr_kN"", ""sim"": 0.3389}]"
bmd_series.ttl,stall_rms_current_I0,,0.0,SKIPPED_NOT_IN_STANDARD,Skipped (Not found in standard / not defined in ontology),SKIP_LIST,0.0,0.0,[]
bmd_series.ttl,brake_dc_current_Ib,,0.0,SKIPPED_NOT_IN_STANDARD,Skipped (Not found in standard / not defined in ontology),SKIP_LIST,0.0,0.0,[]
