file,original_name_pred,best_match,confidence,reason,file_norm,original_name_norm,best_match_norm,oem_file,oem_ns,oem_brand,original_var_iri,original_name_truth,unit,canonical_id,domain,namespace,vendor,oem_file_norm,canonical_id_norm,is_correct
OEMA_OEM,MainEngPower_kW,mcrPower_kW,0.526406466960907,Auto-picked by adjusted similarity margin,oema_oem,mainengpower_kw,mcrpower_kw,OEMA_OEM.ttl,oema,AcmeMarine Drives,oema:Var01,MainEngPower_kW,unit:KiloW,mcrPower_kW,eng:PrimeMover,,,oema_oem,mcrpower_kw,True
OEMA_OEM,RidgeLoad_kN,Ftr_kN,0.5683430433273315,Auto-picked by adjusted similarity margin,oema_oem,ridgeload_kn,ftr_kn,OEMA_OEM.ttl,oema,AcmeMarine Drives,oema:Var02,RidgeLoad_kN,unit:KiloN,Ftr_kN,prop:ThrusterSystem,,,oema_oem,ftr_kn,True
OEMA_OEM,strainerAreaRatio,strainerOpenAreaRatio,0.5712445974349976,Auto-picked by adjusted similarity margin,oema_oem,strainerarearatio,straineropenarearatio,OEMA_OEM.ttl,oema,AcmeMarine Drives,oema:Var03,strainerAreaRatio,,strainerOpenAreaRatio,eng:CoolingWaterInletChest,,,oema_oem,straineropenarearatio,True
OEMA_OEM,CoolingChestVol_m3,seaChestVolume_m3,0.522810161113739,Auto-picked by adjusted similarity margin,oema_oem,coolingchestvol_m3,seachestvolume_m3,OEMA_OEM.ttl,oema,AcmeMarine Drives,oema:Var04,CoolingChestVol_m3,unit:M3,seaChestVolume_m3,eng:CoolingWaterInletChest,,,oema_oem,seachestvolume_m3,True
OEMA_OEM,chargeTime_h,compressorChargeTime_h,0.5299925208091736,Auto-picked by adjusted similarity margin,oema_oem,chargetime_h,compressorchargetime_h,OEMA_OEM.ttl,oema,AcmeMarine Drives,oema:Var05,chargeTime_h,,compressorChargeTime_h,eng:StartingSystem,,,oema_oem,compressorchargetime_h,True
OEMA_OEM,shaftRespTorque_kNm,Qr_kNm,0.6102446913719177,Auto-picked by adjusted similarity margin,oema_oem,shaftresptorque_knm,qr_knm,OEMA_OEM.ttl,oema,AcmeMarine Drives,oema:Var06,shaftRespTorque_kNm,unit:KiloN-M,Qr_kNm,prop:ShaftingSystem,,,oema_oem,qr_knm,True
OEMA_OEM,reverseRequired,reversible,0.5,Auto-picked by adjusted similarity margin,oema_oem,reverserequired,reversible,OEMA_OEM.ttl,oema,AcmeMarine Drives,oema:Var07,reverseRequired,,reversible,eng:PrimeMover,,,oema_oem,reversible,True
OEMA_OEM,F_fwd_kN,Tf_kN,0.95,"Both refer to forward axial force in kN, likely in the context of a propeller; 'Tf_kN' explicitly states 'Axial force, forward'.",oema_oem,f_fwd_kn,tf_kn,OEMA_OEM.ttl,oema,AcmeMarine Drives,oema:Var08,F_fwd_kN,unit:KiloN,Ff_kN,prop:Propeller,,,oema_oem,ff_kn,False
OEMB_OEM,IceImpact_kN,Fti_kN,0.549579918384552,Auto-picked by adjusted similarity margin,oemb_oem,iceimpact_kn,fti_kn,OEMB_OEM.ttl,oemb,BalticDrive Systems,oemb:Var01,IceImpact_kN,unit:KiloN,Fti_kN,prop:ThrusterSystem,,,oemb_oem,fti_kn,True
OEMB_OEM,n_MCR_rpm,nn_rpm,0.58,"Both refer to nominal rotational speed at MCR in rpm, matching unit and meaning; domain is propeller, which is plausible for OEM variable.",oemb_oem,n_mcr_rpm,nn_rpm,OEMB_OEM.ttl,oemb,BalticDrive Systems,oemb:Var02,n_MCR_rpm,unit:REV-PER-MIN,nn_rpm,prop:Propeller,,,oemb_oem,nn_rpm,True
